time,open,high,low,close,volume
1589673600,9382.17,9874.37,9330.99,9676.97,4188410687.44
1589760000,9676.97,9941.52,9548.75,9730.74,4155636509.92
1589846400,9730.74,9888.68,9490.99,9773.41,3993639251.72
1589932800,9773.41,9836.62,9381.95,9512.35,4250305713.92
1590019200,9512.35,9570.09,8825.48,9067.26,4941856870.02
1590105600,9067.26,9255.63,8949.06,9170.07,3556459275.94
1590192000,9170.07,9303.85,9093.76,9177.18,3010969275.2
1590278400,9177.18,9295.4,8724.79,8725.34,3723536236.04
1590364800,8725.34,8970.01,8665.81,8897.63,3223965235.96
1590451200,8897.63,9006.68,8707.83,8841.17,2880635327.65
1590537600,8841.17,9215.3,8816.67,9199.26,3009465141.51
1590624000,9199.26,9618.23,9117.25,9575.85,3436406722.97
1590710400,9575.85,9598.86,9350.95,9424.57,3014498457.58
1590796800,9424.57,9730.85,9337.56,9694.64,2605194017.28
1590883200,9694.64,9697.48,9404.97,9454.93,2620521540.75
1590969600,9454.93,10317.1,9427.2,10192.8,2864137317.77
1591056000,10192.8,10206.57,9355.67,9524.59,4212748969.79
1591142400,9524.59,9667.25,9414.25,9664.25,2017029447.81
1591228800,9664.25,9869.18,9475.34,9789.82,2175506225.76
1591315200,9789.82,9847.49,9625.2,9625.33,2064194416.33
1591401600,9625.33,9731.17,9545.63,9667.87,1350500429.69
1591488000,9667.87,9794.29,9399.46,9746.55,2104813152.9
1591574400,9746.55,9796.3,9654.01,9779.14,1614913372.18
1591660800,9779.14,9866.61,9612.72,9769.04,1747386658.81
1591747200,9769.04,9979.2,9706.2,9882.32,2135727810.49
1591833600,9882.32,9952.3,9172.24,9283.38,3328381969.41
1591920000,9283.38,9551.32,9246.64,9466.63,1891313946.92
1592006400,9466.63,9488.22,9358,9473.23,1375209547.94
1592092800,9473.23,9479.63,9256.3,9341.8,1260447427.16
1592179200,9341.8,9492.18,8923.14,9424.95,2554730940.32
1592265600,9424.95,9584.3,9375.12,9523.72,2099943135.11
1592352000,9523.72,9556.03,9250.97,9462.87,2131198385.42
1592438400,9462.87,9482.35,9284.2,9386.57,1852987721.97
1592524800,9386.57,9424.67,9246.59,9311.74,2189784537.71
1592611200,9311.74,9395.22,9187.51,9358.45,1746487135.91
1592697600,9358.45,9411.81,9284.07,9294.66,1612356231.17
1592784000,9294.66,9773.95,9279.79,9684.99,2401020221.13
1592870400,9684.99,9717.72,9579.49,9624.97,1977387734.96
1592956800,9624.97,9667.89,9212.55,9300.73,2109761708.67
1593043200,9300.73,9336.27,9014.02,9248.74,2180345467.25
1593129600,9248.74,9296.95,9050.56,9161.31,2095831933.56
1593216000,9161.31,9194.13,8860.79,9012.23,1715268531.23
1593302400,9012.23,9188.81,8949.39,9122.27,1250421657.54
1593388800,9122.27,9233.12,9028.87,9186.28,1651468949.97
1593475200,9186.28,9199.88,9069.78,9137.34,1636783384.54
1593561600,9137.34,9289.96,9094.88,9229.75,1437078689.97
1593648000,9229.75,9260.46,8953.25,9086.63,1968438709.14
1593734400,9086.63,9122.71,9044.74,9062.04,1349856929.96
1593820800,9062.04,9187.59,9045.49,9135.62,921298028.31
1593907200,9135.62,9143.51,8924.41,9075.73,1215912197.43
1593993600,9075.73,9367.4,9058.62,9342.66,2047717311.82
1594080000,9342.66,9373.49,9207.51,9256.27,1359594399.83
1594166400,9256.27,9466.91,9233.01,9435.26,1660518067.83
1594252800,9435.26,9439.98,9173.35,9233.91,1426334320.08
1594339200,9233.91,9313.46,9128.44,9287.82,1243408309.79
1594425600,9287.82,9297.61,9180.83,9234.09,871587069.05
1594512000,9234.09,9335.23,9162.85,9300.25,968862180.09
1594598400,9300.25,9334.92,9201.65,9242.4,1409998438.8
1594684800,9242.4,9274.98,9120.66,9254.73,1386002827.13
1594771200,9254.73,9273.09,9166.29,9198.34,1194917112.64
1594857600,9198.34,9224.09,9050.04,9134.21,1507751770.55
1594944000,9134.21,9183.69,9090.62,9155.55,1046980953.53
1595030400,9155.55,9202.83,9124.67,9169.42,893359215.95
1595116800,9169.42,9227.85,9103.59,9207.34,809517593.54
1595203200,9207.34,9218.51,9135.36,9161.16,1123130970.6
1595289600,9161.16,9433.71,9153.43,9388.66,1662978872.65
1595376000,9388.66,9531.1,9281.48,9518.03,1355773850.46
1595462400,9518.03,9659.13,9447.75,9604.82,1572023470.71
1595548800,9604.82,9632.11,9467.41,9537.86,1574136269.22
1595635200,9537.86,9730.64,9525.13,9700.94,1683933229.1
1595721600,9700.94,10097.91,9650.79,9929.81,2188653076.02
1595808000,9929.81,11375.5,9921.24,11027.72,4641048252.92
1595894400,11027.72,11236.09,10572.96,10908.39,3858849603.46
1595980800,10908.39,11338.65,10834.65,11101.15,3056634569.54
1596067200,11101.15,11169.79,10844.58,11099.83,2597331018.17
1596153600,11099.83,11440,10963.54,11337.09,2843825696.44
1596240000,11337.09,11855.15,11223.91,11802.17,3181142182.51
1596326400,11802.17,12108.11,10915.49,11070.6,3292175838.01
1596412800,11070.6,11468.65,10947.84,11220.64,2147351566.82
1596499200,11220.64,11410.67,11030.06,11190.06,2415313093.41
1596585600,11190.06,11779.77,11102.02,11741.92,3014714822.11
1596672000,11741.92,11897.95,11566.01,11763.24,2810018946.65
1596758400,11763.24,11905.2,11329.24,11593.17,2722634562.48
1596844800,11593.17,11805.41,11520.83,11765.87,1913533884.73
1596931200,11765.87,11794.13,11525.17,11681.06,1784913514.92
1597017600,11681.06,12055.6,11600.4,11890.49,2805813359.21
1597104000,11890.49,11932.93,11131.55,11390.28,3142640375.06
1597190400,11390.28,11615.99,11162.93,11565.27,2693849532.67
1597276800,11565.27,11781.58,11277.33,11776.83,2421041328.66
1597363200,11776.83,11850.45,11636.24,11759.62,2110895591.72
1597449600,11759.62,11978.79,11697.44,11852.58,2180775149.96
1597536000,11852.58,11932.44,11690.88,11910.5,1862322161.14
1597622400,11910.5,12447.19,11771.91,12280.17,2879164967.28
1597708800,12280.17,12383.17,11850.21,11946.23,2725976783.87
1597795200,11946.23,12019.76,11578.29,11753.03,2563455459.5
1597881600,11753.03,11879.56,11668.95,11856.13,1871869381.55
1597968000,11856.13,11877.1,11495.13,11529.47,2229037744.47
1598054400,11529.47,11683.41,11380.34,11665.18,1844843976.66
